dataset,subset,algorithm,param,subset_size,silhouette_native,silhouette_common,ARI,AMI,CH,DB,clustering_runtime
AIJobs,medium,k_prototypes,7,5000,,,,,,,0.0
AIJobs,medium,agg_gower,7,5000,0.42031192779541016,0.05975671338437125,-0.012615646669730998,0.004308039493745323,127.4263835696674,2.2353523930551478,0.336895227432251
AIJobs,medium,k_medoids,7,5000,0.4928719699382782,0.11710821629460798,0.006865085490884752,0.02830646286149175,229.20751063600494,2.1952301080763124,0.26256704330444336
AIJobs,medium,famd_kmeans,7,5000,0.3999301160745969,0.3999301160745969,-0.02516107096984641,0.017325254156440678,727.8362489943977,0.9947825762901993,0.008112430572509766
AIJobs,medium,k_prototypes,8,5000,,,,,,,0.0
AIJobs,medium,agg_gower,8,5000,0.3149292767047882,0.08332610272124526,-0.021654937591863193,0.006101871569906383,154.22143513162501,2.1390780337963085,0.33589601516723633
AIJobs,medium,k_medoids,8,5000,0.49876776337623596,0.11427983162966557,0.007440433152408665,0.029100619443205713,245.00269314599765,1.9874638559812081,0.22439265251159668
AIJobs,medium,famd_kmeans,8,5000,0.48608539660477335,0.48608539660477335,-0.00023267323056164372,0.028162575052726086,859.3778155417799,0.9936802336774795,0.008335113525390625
AIJobs,medium,k_prototypes,9,5000,,,,,,,0.0
AIJobs,medium,agg_gower,9,5000,0.3153895139694214,0.08517676326872398,-0.02165891830895874,0.006056197346329222,137.6553994587485,2.3803518951605254,0.33526158332824707
AIJobs,medium,k_medoids,9,5000,0.5529413223266602,0.14532258552225308,0.0037056378212063147,0.027795855121773315,271.5518529455946,1.8552796131679814,0.2469480037689209
AIJobs,medium,famd_kmeans,9,5000,0.5421380554276513,0.5421380554276513,0.002052574679688239,0.03116012766153939,1034.3975601117488,0.8557309683795319,0.009325981140136719
AIJobs,medium,k_prototypes,10,5000,,,,,,,0.0
AIJobs,medium,agg_gower,10,5000,0.39597252011299133,0.1083248698638912,-0.033483982748223035,0.010331035679231267,164.32689384398742,2.320367681738248,0.33349037170410156
AIJobs,medium,k_medoids,10,5000,0.6102385520935059,0.17309837451285476,0.004642082372032515,0.031919370473758216,309.18691192737646,1.705972952582464,0.24123907089233398
AIJobs,medium,famd_kmeans,10,5000,0.5464315923205789,0.5464315923205789,0.0027051859445495004,0.031348852932810346,1297.732329310331,0.7611023534491481,0.00881195068359375
AIJobs,medium,hdbscan_gower,20,5000,0.8254373073577881,0.11202267255932437,0.0073416130153609324,0.032373679066819414,158.97297699727773,5.0723871861508485,0.7101342678070068
AIJobs,medium,hdbscan_famd,20,5000,0.6679614093656617,0.6679614093656617,0.007394586098541216,0.033076982025011734,1773.3478112355556,0.44110164309245886,0.08661103248596191
AIJobs,medium,hdbscan_gower,50,5000,0.903073251247406,0.19272869203698417,0.0005573944315429979,0.031287716033292085,351.84840619708626,1.7533466049565254,0.6761324405670166
AIJobs,medium,hdbscan_famd,50,5000,0.6602740013624486,0.6602740013624486,0.0023437994403932923,0.03239375064502683,3040.160771432907,0.4853312139837519,0.10327482223510742
AIJobs,medium,hdbscan_gower,100,5000,0.9046169519424438,0.20917733836655103,0.0021613684003370433,0.032965766670189744,414.59266826765764,1.6385542452852837,0.665708065032959
AIJobs,medium,hdbscan_famd,100,5000,0.6590232320592038,0.6590232320592038,0.004359900616948273,0.03245325606439968,3014.0757327293295,0.4743559966980873,0.12622475624084473
AIJobs,medium,hdbscan_gower,200,5000,0.9025774598121643,0.23729112460462223,0.002820588916957672,0.03289508229344465,481.1949691457562,1.3938313927759876,0.6566581726074219
AIJobs,medium,hdbscan_famd,200,5000,0.6159304859003034,0.6159304859003034,0.0045595024492949025,0.033292418304724555,3110.7888248289855,0.5434854254469221,0.1823265552520752
AIJobs,large,k_prototypes,2,10000,0.499083012342453,0.09787576969254007,-0.019914568593905363,0.004475868737321971,488.30214609872087,3.1235376822734775,1.7778246402740479
AIJobs,large,agg_gower,2,10000,0.416948139667511,0.48589053197589654,0.003690948460616998,0.00090555812358917,571.3419069837486,1.552769358874757,1.7083759307861328
AIJobs,large,k_medoids,2,10000,0.49900850653648376,0.09633550242464033,-0.019914013954517747,0.004484393481945459,487.35919918579725,3.120089573739704,1.9621117115020752
AIJobs,large,famd_kmeans,2,10000,0.12207843993759956,0.12207843993759956,0.007560557431096564,0.006500204842900136,839.8338159442811,2.4512172013771556,0.006684064865112305
AIJobs,large,k_prototypes,3,10000,0.48836982250213623,0.07936228117037969,-0.019286146553591496,0.005739549837924907,606.3284594912453,2.194464479736484,2.763916015625
AIJobs,large,agg_gower,3,10000,0.3843011260032654,0.45668882077185424,0.0037211024326268692,0.001689409301017272,475.57299789459535,1.130252983766688,1.6059105396270752
AIJobs,large,k_medoids,3,10000,0.24291643500328064,0.06507490392105734,0.03477104343771745,0.03528100759430083,336.9225668397917,4.1555966707441865,2.374934196472168
AIJobs,large,famd_kmeans,3,10000,0.18535446722335522,0.18535446722335522,-0.010099180542301177,0.009215413607353142,925.3534503202884,2.0868038952429195,0.00511479377746582
AIJobs,large,k_prototypes,4,10000,0.24004407227039337,0.06167263597764346,0.030051155115350617,0.02814872256657879,476.5876300082306,3.5393233984780386,19.981658220291138
AIJobs,large,agg_gower,4,10000,0.3496386408805847,0.4073977219798766,0.0037318172915089,0.0016874672653015568,319.2628326848926,1.8090796503849889,1.5270287990570068
AIJobs,large,k_medoids,4,10000,0.26808515191078186,0.04934290421712087,0.021985371300556944,0.034957997781285104,311.1428678456547,3.6585198887295007,1.8595705032348633
AIJobs,large,famd_kmeans,4,10000,0.2321105637166759,0.2321105637166759,-0.03489527853121174,0.008754882234883696,914.7304484767542,1.8993568908230205,0.0043697357177734375
AIJobs,large,k_prototypes,5,10000,,,,,,,0.0
AIJobs,large,agg_gower,5,10000,0.43859219551086426,0.0514949354968032,-0.024090163668340013,0.010956104235017756,352.04288708889976,2.345905883887268,1.562880039215088
AIJobs,large,k_medoids,5,10000,0.3485582768917084,0.050392028150439146,0.013445237768772144,0.033391864114364254,329.26989210954764,3.241454552498187,1.088174819946289
AIJobs,large,famd_kmeans,5,10000,0.2973145112280744,0.2973145112280744,-0.031205315452185647,0.009467336548429963,986.5078449450571,1.7662761789999126,0.0056993961334228516
AIJobs,large,k_prototypes,6,10000,,,,,,,0.0
AIJobs,large,agg_gower,6,10000,0.42409947514533997,0.05128423161488983,-0.024090129491717256,0.010944300996410772,283.89263175340875,2.1055507955905797,1.5846319198608398
AIJobs,large,k_medoids,6,10000,0.39551103115081787,0.07830162664874674,0.007020309067324373,0.03159208696357463,360.33995838760364,2.6941643326102067,1.780632495880127
AIJobs,large,famd_kmeans,6,10000,0.347940828518788,0.347940828518788,-0.025787879050785646,0.016799339139453067,1109.889535010687,1.5564707048076754,0.0055654048919677734
AIJobs,large,k_prototypes,7,10000,,,,,,,0.0
AIJobs,large,agg_gower,7,10000,0.41515225172042847,0.05142292860617237,-0.024086625553925513,0.010768307196551426,242.23571351608365,1.992199391528311,1.6464934349060059
AIJobs,large,k_medoids,7,10000,0.4329923391342163,0.09335265858095593,0.010403547797879824,0.03195930023630723,389.60033127835544,2.417123855424752,1.505342960357666
AIJobs,large,famd_kmeans,7,10000,0.4002941156175242,0.4002941156175242,-0.025951112999827053,0.01778189440837386,1262.1475555339712,1.3858738747240582,0.006215572357177734
AIJobs,large,k_prototypes,8,10000,,,,,,,0.0
AIJobs,large,agg_gower,8,10000,0.3407120704650879,0.07966735428867211,0.027349394021981922,0.03965850836423179,303.54832623869527,1.9556821884715472,1.5483994483947754
AIJobs,large,k_medoids,8,10000,0.5434562563896179,0.13294499345247873,0.006295272030344226,0.03380493258892331,480.1609104026944,2.0519490173689294,1.3549160957336426
AIJobs,large,famd_kmeans,8,10000,0.4570464136824731,0.4570464136824731,0.00044999206870664516,0.027851407577662562,1450.5923724651564,1.2546355051987117,0.0065155029296875
AIJobs,large,k_prototypes,9,10000,,,,,,,0.0
AIJobs,large,agg_gower,9,10000,0.3417488634586334,0.08046195695801828,0.027373748833179005,0.0396723323997591,271.20892706182025,2.1027995228845273,1.6785595417022705
AIJobs,large,k_medoids,9,10000,0.5662626624107361,0.13001746682659304,0.004312929503658106,0.0359272064434223,421.16619646459145,2.473646056713811,1.4981424808502197
AIJobs,large,famd_kmeans,9,10000,0.4492576225093435,0.4492576225093435,0.0006097513968521259,0.028197246557620386,1727.4250471238352,1.1013443782771812,0.00580596923828125
AIJobs,large,k_prototypes,10,10000,,,,,,,0.0
AIJobs,large,agg_gower,10,10000,0.33613383769989014,0.08122393122786936,0.027379086814387724,0.0394629825162087,245.34058670109903,2.1102787305154616,1.59568190574646
AIJobs,large,k_medoids,10,10000,0.6275131106376648,0.15829449127671535,0.002455838365475628,0.033237318942084294,496.1232106397142,2.1727017747212423,1.0852279663085938
AIJobs,large,famd_kmeans,10,10000,0.49215587341945854,0.49215587341945854,-0.0005154454187248608,0.028184765242417684,2098.6583031610294,0.9549143553681543,0.005140781402587891
AIJobs,large,hdbscan_gower,20,10000,0.7902911305427551,-0.00664470035826852,0.006024181669131234,0.03463421044102081,117.39700874584972,6.223355250423409,3.223374843597412
AIJobs,large,hdbscan_famd,20,10000,0.6803932523413551,0.6803932523413551,0.006397699173347221,0.035836895740979036,2617.0673605133297,0.3490253059977192,0.33216404914855957
AIJobs,large,hdbscan_gower,50,10000,0.857268750667572,0.09787094848403527,0.007449300169736233,0.035988927693923256,333.87258465416886,5.247461158480292,3.089718818664551
AIJobs,large,hdbscan_famd,50,10000,0.6733925771481195,0.6733925771481195,0.007898219697163393,0.03613407849831385,4038.5097567536022,0.44141755703494306,0.3488478660583496
AIJobs,large,hdbscan_gower,100,10000,0.9055050611495972,0.19131829782476986,-8.136565959850013e-06,0.03384217739654022,654.9865998046134,1.7963633353821125,3.1185073852539062
AIJobs,large,hdbscan_famd,100,10000,0.665785050248877,0.665785050248877,0.0023143128456923675,0.03424515638092301,6235.60474591097,0.47847926532815854,0.39136719703674316
AIJobs,large,hdbscan_gower,200,10000,0.8992257714271545,0.20735150512553696,0.002497880615116628,0.0356424554762402,754.5135675229975,1.6689468249859007,2.9254190921783447
AIJobs,large,hdbscan_famd,200,10000,0.6687230206600403,0.6687230206600403,0.004429884055314811,0.03429409958970134,6296.232572192464,0.4636049430144695,0.4307277202606201
